start_year ,end_year ,longhurst_region_code ,region_name ,combined_cat_values ,consecutive_months_threshold ,num_samples,months_after
2013,2017,38,NPTG,"[3, 4]",3,100,12
2013,2017,44,CCAL,"[3, 4]",3,100,12
2013,2017,39,PNEC,"[3, 4]",3,100,12
2010,2014,2,ARCT,"[3,4]",3,100,12
2010,2014,15,NWCS,"[3,4]",3,100,12
2009,2013,29,AUSW,"[3, 4]",3,100,12
2013,2017,36,TASM,"[3, 4]",3,100,12
2014,2018,53,ANTA,"[3, 4]",3,100,12
2014,2018,37,SPSG,"[3, 4]",3,100,12
2014,2018,10,SATL,"[3, 4]",3,100,12
2014,2018,22,MONS,"[3, 4]",3,100,12
2014,2018,23,ISSG,"[3, 4]",3,100,12
2004,2008,16,MEDI,"[3, 4]",3,100,12
